t,x,y,z,vx,vy,vz,roll,pitch,yaw,wx,wy,wz,rpm0,rpm1,rpm2,rpm3
0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.512540046807422914e+04,1.512540046807423278e+04,1.512540046807423278e+04,1.512540046807423278e+04
2.083333333333333218e-02,2.999999999999999889e-01,-2.156071211348494809e-28,9.975601128204522605e-02,-2.476760807122463981e-36,-1.925649604223646640e-25,-3.536505111535962614e-02,9.375051921573135373e-19,0.000000000000000000e+00,0.000000000000000000e+00,-2.318919797396424198e-16,3.478379696094636297e-16,1.665439290106360913e-16,1.517556608614157813e+04,1.517556608614157449e+04,1.517556608614157449e+04,1.517556608614157449e+04
4.166666666666666435e-02,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518333955246397636e+04,1.518333955246397818e+04,1.518333955246397818e+04,1.518333955246397818e+04
6.250000000000000000e-02,2.999999999999999889e-01,-6.775822027968099518e-29,9.975675268376932303e-02,-1.238379927244206564e-36,-6.021419386673004699e-26,-3.500918028158127998e-02,2.973969318393968460e-19,0.000000000000000000e+00,0.000000000000000000e+00,-7.375384568899662043e-36,1.159459898698212099e-16,8.327196450531804565e-17,1.517532861593516100e+04,1.517532861593516463e+04,1.517532861593516463e+04,1.517532861593516463e+04
8.333333333333332871e-02,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518360338363965820e+04,1.518360338363965820e+04,1.518360338363965820e+04,1.518360338363965820e+04
1.041666666666666574e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.975675606629350045e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.500755667902619162e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.517559029866191122e+04,1.517559029866191122e+04,1.517559029866191122e+04,1.517559029866191122e+04
1.250000000000000000e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518386721023057362e+04,1.518386721023057544e+04,1.518386721023057544e+04,1.518386721023057362e+04
1.458333333333333148e-01,2.999999999999999889e-01,-1.230518484260418140e-28,9.975675944881765012e-02,2.476759854488413129e-36,-1.093465360823011653e-25,-3.500593307648585534e-02,5.401317972145386322e-19,0.000000000000000000e+00,0.000000000000000000e+00,1.159459898698212099e-16,2.318919797396424198e-16,-2.693600265336783261e-35,1.517585197687589061e+04,1.517585197687589425e+04,1.517585197687589425e+04,1.517585197687589243e+04
1.666666666666666574e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518413103223696817e+04,1.518413103223696817e+04,1.518413103223696817e+04,1.518413103223696817e+04
1.875000000000000000e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.975676283134177202e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.500430947396026421e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.517611365057734292e+04,1.517611365057734292e+04,1.517611365057734292e+04,1.517611365057734292e+04
2.083333333333333148e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518439484965907650e+04,1.518439484965907650e+04,1.518439484965907650e+04,1.518439484965907650e+04
2.291666666666666574e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.975676621386586618e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.500268587144941823e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.517637531976649370e+04,1.517637531976649370e+04,1.517637531976649370e+04,1.517637531976649370e+04
2.500000000000000000e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518465866249714418e+04,1.518465866249714054e+04,1.518465866249714054e+04,1.518465866249714054e+04
2.708333333333333148e-01,2.999999999999999889e-01,-2.862444797000809199e-28,9.975676959638991870e-02,2.476759854488413129e-36,-2.543455120035227982e-25,-3.500106226895328965e-02,1.256621520343822201e-18,0.000000000000000000e+00,0.000000000000000000e+00,4.637839594792848396e-16,-3.478379696094636297e-16,-1.665439290106360913e-16,1.517663698444358124e+04,1.517663698444357760e+04,1.517663698444357760e+04,1.517663698444358124e+04
2.916666666666666297e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518492247075140040e+04,1.518492247075140040e+04,1.518492247075140040e+04,1.518492247075140040e+04
3.125000000000000000e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.975677297891394346e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.499943866647189927e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.517689864460883473e+04,1.517689864460883655e+04,1.517689864460883655e+04,1.517689864460883473e+04
3.333333333333333148e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518518627442208708e+04,1.518518627442209254e+04,1.518518627442209254e+04,1.518518627442209072e+04
3.541666666666666297e-01,2.999999999999999889e-01,-3.568300899183920489e-28,9.975677636143792659e-02,4.953519708976826257e-36,-3.170505157394441123e-25,-3.499781506400526099e-02,1.566628456424126861e-18,0.000000000000000000e+00,0.000000000000000000e+00,-2.318919797396424198e-16,6.956759392189272594e-16,1.665439290106360913e-16,1.517716030026249246e+04,1.517716030026249064e+04,1.517716030026249064e+04,1.517716030026249064e+04
3.750000000000000000e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518545007350945707e+04,1.518545007350945525e+04,1.518545007350945525e+04,1.518545007350945525e+04
3.958333333333333148e-01,2.999999999999999889e-01,-1.292099856829188005e-28,9.975677974396189585e-02,-6.191904399393118761e-37,-1.148029630348250978e-25,-3.499619146155333316e-02,5.673084009225078466e-19,0.000000000000000000e+00,0.000000000000000000e+00,2.318919797396424198e-16,-1.159459898698212099e-16,-8.327196450531804565e-17,1.517742195140478179e+04,1.517742195140478179e+04,1.517742195140478179e+04,1.517742195140478179e+04
4.166666666666666297e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518571386801372682e+04,1.518571386801372682e+04,1.518571386801372682e+04,1.518571386801372682e+04
4.375000000000000000e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.975678312648582347e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.499456785911617129e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.517768359803593921e+04,1.517768359803594103e+04,1.517768359803594103e+04,1.517768359803594103e+04
4.583333333333333148e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518597765793514918e+04,1.518597765793515282e+04,1.518597765793515282e+04,1.518597765793515282e+04
4.791666666666666297e-01,2.999999999999999889e-01,-2.861832319472643012e-28,9.975678650900972333e-02,0.000000000000000000e+00,-2.542618703561720252e-25,-3.499294425669370601e-02,1.256621520343822201e-18,0.000000000000000000e+00,0.000000000000000000e+00,-4.637839594792848396e-16,3.478379696094636297e-16,1.665439290106360913e-16,1.517794524015620118e+04,1.517794524015620118e+04,1.517794524015620118e+04,1.517794524015620118e+04
5.000000000000000000e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518624144327395879e+04,1.518624144327396243e+04,1.518624144327396243e+04,1.518624144327396243e+04
5.208333333333332593e-01,2.999999999999999889e-01,-2.134984732020478273e-28,9.975678989153358156e-02,0.000000000000000000e+00,-1.896801358416693104e-25,-3.499132065428600669e-02,9.375051921573135373e-19,0.000000000000000000e+00,0.000000000000000000e+00,-2.318919797396424198e-16,3.478379696094636297e-16,1.665439290106360913e-16,1.517820687776579689e+04,1.517820687776579689e+04,1.517820687776579689e+04,1.517820687776579689e+04
5.416666666666666297e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518650522403040304e+04,1.518650522403040122e+04,1.518650522403040122e+04,1.518650522403040122e+04
5.625000000000000000e-01,2.999999999999999889e-01,-6.772343084557133956e-29,9.975679327405742591e-02,-6.191899636219201142e-37,-6.016668328595678947e-26,-3.498969705189301782e-02,2.973969318393968460e-19,0.000000000000000000e+00,0.000000000000000000e+00,-7.375384568899662043e-36,-1.159459898698212099e-16,-8.327196450531804565e-17,1.517846851086496099e+04,1.517846851086495735e+04,1.517846851086495735e+04,1.517846851086495917e+04
5.833333333333332593e-01,2.999999999999999889e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518676900020470384e+04,1.518676900020470384e+04,1.518676900020470384e+04,1.518676900020470384e+04
