t,x,y,z,vx,vy,vz,roll,pitch,yaw,wx,wy,wz,rpm0,rpm1,rpm2,rpm3
0.000000000000000000e+00,-1.816487582363105483e-21,-4.953613730098201818e-21,1.151920954654678531e-01,-5.489822277548782318e-19,-9.091027112262221801e-19,1.844101186943212373e-02,1.389524379045742606e-17,-1.521784062599025273e-17,-7.286275102901237618e-18,1.159451977930060909e-15,-1.739177966895091363e-15,-8.327159749398901649e-16,1.511480271703345352e+04,1.511480271703344988e+04,1.511480271703344988e+04,1.511480271703344988e+04
2.083333333333333218e-02,-6.856533998756990693e-20,-6.944139629540465841e-20,1.157603585048033457e-01,-7.146136102831676920e-18,-6.139874307488328431e-18,3.611185108820847561e-02,3.805028706218963708e-17,-5.145040553358856464e-17,-2.463442900540502393e-17,1.159432176212596151e-15,-1.739148264318893733e-15,-8.327067997173229954e-16,1.508871324421850113e+04,1.508871324421850113e+04,1.508871324421850113e+04,1.508871324421850113e+04
4.166666666666666435e-02,-3.482955944753751680e-19,-2.984317723687393786e-19,1.166889823553072941e-01,-2.013552896568940874e-17,-1.669842314338115796e-17,5.303544380245974604e-02,6.220491780166407799e-17,-5.748820377185004323e-17,-2.463411042199016679e-17,1.159412374833314880e-15,1.159511382575179952e-15,8.327343252839278373e-16,1.506340395625275232e+04,1.506340395625275960e+04,1.506340395625275596e+04,1.506340395625275596e+04
6.250000000000000000e-02,-8.865513784965077258e-19,-8.025586876360576224e-19,1.179626331731804673e-01,-3.068445679733776438e-17,-3.255013166696685397e-17,6.923426162692229713e-02,8.635913601592621654e-17,-3.333192291391270655e-17,-7.285574222758427965e-18,1.159392573792212165e-15,1.159491579843171834e-15,8.327251498591686167e-16,1.503885740090774016e+04,1.503885740090774016e+04,1.503885740090774016e+04,1.503885740090774016e+04
8.333333333333332871e-02,-1.585773781012756642e-18,-1.688653463308681353e-18,1.195664405093682381e-01,-3.525118601004504966e-17,-5.302467356618238016e-17,8.473031654406902591e-02,9.843528256364128156e-17,2.901604539010812029e-18,1.439984115696933272e-17,-7.920484077926175130e-20,2.318923755379426255e-15,1.249073962005453314e-15,1.501505620630914927e+04,1.501505620630915109e+04,1.501505620630915109e+04,1.501505620630915109e+04
1.041666666666666574e-01,-2.287073426527586636e-18,-3.018080368171277859e-18,1.214859876929483690e-01,-3.037934510070581155e-17,-7.460012168697255981e-17,9.954515712182511467e-02,9.843363247688237277e-17,5.121210356893837831e-17,4.042207200230043994e-17,-7.920348807826637824e-20,2.318884151606349934e-15,1.249060199171606899e-15,1.499198310431670507e+04,1.499198310431670507e+04,1.499198310431670507e+04,1.499198310431670507e+04
1.250000000000000000e-01,-2.783162764402630320e-18,-4.796313417297760187e-18,1.237073021485283197e-01,-1.623183068170083901e-17,-9.611004006425727194e-17,1.136998659536215817e-01,9.843198241830449677e-17,7.536645923054560440e-17,6.644401612350604789e-17,-7.920213540036492743e-20,-5.940735047482050334e-20,1.249046436489405187e-15,1.496962095203868012e+04,1.496962095203867648e+04,1.496962095203867648e+04,1.496962095203868012e+04
1.458333333333333148e-01,-2.950265555492192636e-18,-7.022008424295588665e-18,1.262168456721576848e-01,1.898053071642355002e-19,-1.175564717918316771e-16,1.272150582288031073e-01,9.843033238790718517e-17,7.536522158797938384e-17,9.246567352374540275e-17,-7.920078274554856368e-20,-5.940633588552170090e-20,1.249032673958846799e-15,1.494795275156137905e+04,1.494795275156137905e+04,1.494795275156137905e+04,1.494795275156137905e+04
1.666666666666666574e-01,-2.775741154046011393e-18,-9.693863625603718882e-18,1.290015046883895566e-01,1.656437452781041797e-17,-1.389414116874313965e-16,1.401108813456666546e-01,9.842868238568994493e-17,7.536398396655023517e-17,1.184870442061777199e-16,-7.919943011382397959e-20,-5.940532131354931053e-20,1.249018911579929762e-15,1.492696166797369733e+04,1.492696166797369733e+04,1.492696166797369733e+04,1.492696166797369733e+04
1.875000000000000000e-01,-2.265133963781717924e-18,-1.281672388817202523e-17,1.320485805093405962e-01,3.195135015477879658e-17,-1.615228331305346899e-16,1.524070154836429380e-01,1.225823507084124342e-16,5.724625764368771224e-17,1.336654523386486989e-16,2.318824757782616530e-15,-1.739237371201850412e-15,2.081101806777900397e-16,1.490663104576666046e+04,1.490663104576665683e+04,1.490663104576665683e+04,1.490663104576665683e+04
